Region;Production;Consumption
China;4560.0;4371.6
India;910.9;1218.4
Indonesia;687.4;215.8
US;539.4;441.1
Australia;443.4;60.0
Russian Federation;439.0;149.8
Germany;132.5;255.1
Kazakhstan;118.0;93.9
Poland;107.5;114.5
Turkey;96.1;202.6
Colombia;57.5;3.5
Vietnam;49.8;87.3
Canada;45.1;14.9
Mongolia;39.3;
Bulgaria;35.6;37.0
Czech Republic;35.2;43.3
Serbia;35.1;
Romania;18.2;23.8
Ukraine;16.5;23.8
Greece;14.0;14.0
Thailand;13.6;69.0
Pakistan;9.9;33.3
Brazil;7.5;40.2
South Korea;0.8;114.8
Japan;0.7;172.2
